iter	Passed	Remaining
1549	122664	35612
1550	122753	35535
1551	122820	35453
1552	122889	35371
1553	122965	35291
1554	123037	35209
1555	123112	35129
1556	123195	35051
1557	123283	34975
1558	123377	34900
1559	123459	34822
1560	123540	34743
1561	123627	34666
1562	123717	34590
1563	123800	34512
1564	123880	34433
1565	123950	34351
1566	124020	34269
1567	124086	34187
1568	124163	34107
1569	124245	34028
1570	124324	33949
1571	124411	33872
1572	124510	33799
1573	124600	33722
1574	124681	33644
1575	124773	33568
1576	124856	33490
1577	124940	33412
1578	125028	33335
1579	125116	33258
1580	125196	33179
1581	125286	33103
1582	125359	33022
1583	125443	32944
1584	125521	32865
1585	125587	32782
1586	125670	32704
1587	125756	32626
1588	125831	32546
1589	125904	32466
1590	125969	32383
1591	126053	32305
1592	126141	32228
1593	126221	32149
1594	126291	32067
1595	126380	31991
1596	126451	31909
1597	126525	31829
1598	126620	31753
1599	126693	31673
1600	126775	31594
1601	126860	31517
1602	126939	31437
1603	127018	31358
1604	127091	31278
1605	127168	31198
1606	127250	31119
1607	127318	31037
1608	127408	30961
1609	127478	30879
1610	127572	30804
1611	127657	30726
1612	127739	30648
1613	127810	30566
1614	127886	30486
1615	127959	30406
1616	128028	30324
1617	128115	30247
1618	128217	30173
1619	128308	30097
1620	128398	30020
1621	128485	29943
1622	128569	29864
1623	128644	29784
1624	128722	29705
1625	128803	29626
1626	128886	29547
1627	128968	29469
1628	129046	29389
1629	129114	29308
1630	129198	29230
1631	129291	29153
1632	129376	29075
1633	129466	28999
1634	129553	28921
1635	129628	28841
1636	129719	28765
1637	129806	28687
1638	129884	28607
1639	129980	28532
1640	130055	28452
1641	130125	28370
1642	130207	28292
1643	130271	28209
1644	130345	28129
1645	130415	28047
1646	130493	27968
1647	130569	27888
1648	130656	27811
1649	130729	27730
1650	130807	27650
1651	130875	27569
1652	130950	27489
1653	131046	27413
1654	131138	27337
1655	131221	27258
1656	131304	27180
1657	131384	27100
1658	131460	27021
1659	131533	26940
1660	131604	26859
